Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Percy Ellsworth,AFC,Browns,S,Defense,500000,2075000,2575000
Corey Fuller,AFC,Browns,CB,Defense,2800000,1125000,3925000
Chris Gardocki,AFC,Browns,P/K,Offense,725000,141600,866600
Madre Hill,AFC,Browns,RB,Offense,134000,4500,138500
Darius Holland,AFC,Browns,DT,Defense,625000,212500,837500
Lenzie Jackson,AFC,Browns,WR,Offense,113200,3500,116700
Raymond Jackson,AFC,Browns,CB,Defense,450000,52500,502500
Kevin Johnson,AFC,Browns,WR,Offense,375000,185700,560700
Lenoy Jones,AFC,Browns,LB,Defense,425000,70000,495000
Ryan Kuehl,AFC,Browns,DT,Defense,500900,154500,655400
Noel La Montagne,AFC,Browns,OL,Offense,150900,1500,152400
Everett Lindsay,AFC,Browns,OL,Offense,450000,550000,1000000
Earl Little,AFC,Browns,CB,Defense,400000,37800,437800
Anthony Malbrough,AFC,Browns,CB,Defense,193000,38800,231800
Daylon McCutcheon,AFC,Browns,CB,Defense,275000,175200,450200
Keith McKenzie,AFC,Browns,DE,Defense,425000,1250000,1675000
Jeremy McKinney,AFC,Browns,OL,Offense,160000,7300,167300
Arnold Miller,AFC,Browns,DE,Defense,275000,7900,282900
Jamir Miller,AFC,Browns,LB,Defense,2150000,2210000,4360000
Marty Moore,AFC,Browns,LB,Defense,450000,125000,575000
Dennis Northcutt,AFC,Browns,WR,Offense,309400,218600,528000
Roman Oben,AFC,Browns,OL,Offense,575000,1816700,2391700
Shaun OHara,AFC,Browns,OL,Offense,193000,1300,194300
David Patten,AFC,Browns,WR,Offense,400000,29200,429200
Doug Pederson,AFC,Browns,QB,Offense,525000,150000,675000
Travis Prentice,AFC,Browns,RB,Offense,193000,140000,333000
Jim Pyne,AFC,Browns,OL,Offense,1800000,504500,2304500
Wali Rainer,AFC,Browns,LB,Defense,275000,77700,352700
Errict Rhett,AFC,Browns,RB,Offense,550000,633300,1183300
Tyrone Rogers,AFC,Browns,LB,Defense,275000,6900,281900
Orpheus Roye,AFC,Browns,DT,Defense,500000,1255100,1755100
Tarek Saleh,AFC,Browns,LB,Defense,472000,4400,476400
Lewis Sanders,AFC,Browns,CB,Defense,193000,102300,295300
O.J. Santiago,AFC,Browns,TE,Offense,472000,0,472000
Aaron Shea,AFC,Browns,TE,Offense,193000,92000,285000
Marquis Smith,AFC,Browns,S,Defense,275000,151200,426200
Marcus Spriggs,AFC,Browns,DT,Defense,275000,24500,299500
Nick Sudano,AFC,Browns,RB,Offense,111000,0,111000
Ryan Taylor,AFC,Browns,LB,Defense,115100,0,115100
Mike Thompson,AFC,Browns,DT,Defense,472000,4500,476500
Jamel White,AFC,Browns,RB,Offense,193000,0,193000
Dave Wohlabaugh,AFC,Browns,OL,Offense,2250000,814300,3064300
Spergon Wynn,AFC,Browns,QB,Offense,178500,20000,198500
Steve Zahursky,AFC,Browns,OL,Offense,275000,6300,281300
Mark Baniewicz,AFC,Jaquars,OL,Offense,164100,7500,171600
Bryan Barker,AFC,Jaquars,P/K,Offense,450000,3600,453600
Reggie Barlow,AFC,Jaquars,WR,Offense,413000,745300,1158300
Aaron Beasley,AFC,Jaquars,CB,Defense,500000,753600,1253600
Tony Boselli,AFC,Jaquars,OL,Offense,515500,2594100,3109600
Brant Boyer,AFC,Jaquars,LB,Defense,600000,95300,695300
Tony Brackens,AFC,Jaquars,DE,Defense,500000,1084100,1584100
Kyle Brady,AFC,Jaquars,TE,Offense,450000,1225000,1675000
Mark Brunell,AFC,Jaquars,QB,Offense,900000,6354800,7254800
Fernando Bryant,AFC,Jaquars,CB,Defense,492500,505000,997500
Joey Chustz,AFC,Jaquars,OL,Offense,111000,83300,194300
Danny Clark,AFC,Jaquars,LB,Defense,193000,7500,200500
Jason Craft,AFC,Jaquars,CB,Defense,275000,34600,309600
Shad Criss,AFC,Jaquars,CB,Defense,193000,0,193000
Donovin Darius,AFC,Jaquars,S,Defense,358000,1135000,1493000
Todd Fordham,AFC,Jaquars,OL,Offense,358000,3600,361600
Richard Griffith,AFC,Jaquars,TE,Offense,440000,48600,488600
Kevin Hardy,AFC,Jaquars,LB,Defense,470000,2410000,2880000
Mike Hollis,AFC,Jaquars,P/K,Offense,500000,178600,678600
Anthony Johnson,AFC,Jaquars,RB,Offense,440000,0,440000
Damon Jones,AFC,Jaquars,TE,Offense,385000,115600,500600
Aaron Koch,AFC,Jaquars,OL,Offense,193000,0,193000
Carnell Lake,AFC,Jaquars,S,Defense,450000,1883300,2333300
Emarlos Leroy,AFC,Jaquars,DT,Defense,275000,21100,296100
Mike Logan,AFC,Jaquars,S,Defense,358000,3600,361600
Stacey Mack,AFC,Jaquars,RB,Offense,183800,8600,192400
Jamie Martin,AFC,Jaquars,QB,Offense,440000,63600,503600
Lonnie Marts,AFC,Jaquars,LB,Defense,440000,503600,943600
Keenan McCardell,AFC,Jaquars,WR,Offense,700000,1340000,2040000
Brad Meester,AFC,Jaquars,OL,Offense,193000,212500,405500
Rob Meier,AFC,Jaquars,DE,Defense,193000,7500,200500
Reggie Nelson,AFC,Jaquars,OL,Offense,275000,0,275000
Ryan Neufeld,AFC,Jaquars,TE,Offense,275000,0,275000
Quentin Neujahr,AFC,Jaquars,OL,Offense,440000,520000,960000
Hardy Nickerson,AFC,Jaquars,LB,Defense,440000,803600,1243600
Erik Olson,AFC,Jaquars,S,Defense,193000,13500,206500
Seth Payne,AFC,Jaquars,DT,Defense,500000,503600,1003600
Jonathan Quinn,AFC,Jaquars,QB,Offense,358000,119600,477600
Leon Searcy,AFC,Jaquars,OL,Offense,500000,3898000,4398000
Daimon Shelton,AFC,Jaquars,RB,Offense,385000,90600,475600
T.J. Slaughter,AFC,Jaquars,LB,Defense,193000,118300,311300
Joel Smeenge,AFC,Jaquars,DE,Defense,450000,761900,1211900
Jeff Smith,AFC,Jaquars,OL,Offense,413000,0,413000
Jimmy Smith,AFC,Jaquars,WR,Offense,850000,1850000,2700000
Larry Smith,AFC,Jaquars,DT,Defense,275000,206300,481300
R. Jay Soward,AFC,Jaquars,WR,Offense,432400,400000,832400
Paul Spicer,AFC,Jaquars,DE,Defense,275000,0,275000
Brenden Stai,AFC,Jaquars,OL,Offense,500000,0,500000
Rayna Stewart,AFC,Jaquars,S,Defense,425000,53600,478600
Shyrone Stith,AFC,Jaquars,RB,Offense,193000,7500,200500
Erik Storz,AFC,Jaquars,LB,Defense,226100,0,226100
Fred Taylor,AFC,Jaquars,RB,Offense,358000,1008200,1366200
Kiwaukee Thomas,AFC,Jaquars,CB,Defense,193000,32000,225000
John Wade,AFC,Jaquars,OL,Offense,358000,96100,454100
Gary Walker,AFC,Jaquars,DT,Defense,500000,1216100,1716100
Alvis Whitted,AFC,Jaquars,WR,Offense,358000,56500,414500
Zach Wiegert,AFC,Jaquars,OL,Offense,500000,628600,1128600
Jermaine Williams,AFC,Jaquars,RB,Offense,358000,0,358000
Renaldo Wynn,AFC,Jaquars,DE,Defense,385000,606700,991700
Brent Alexander,AFC,Steelers,S,Defense,440000,62500,502500
Ainsley Battles,AFC,Steelers,CB,Defense,193000,1800,194800
Jerome Bettis,AFC,Steelers,RB,Offense,3200000,1000600,4200600
Will Blackwell,AFC,Steelers,WR,Offense,472000,3800,475800
Kris Brown,AFC,Steelers,P/K,Offense,275000,26500,301500
Mark Bruener,AFC,Steelers,TE,Offense,1000000,961800,1961800
Plaxico Burress,AFC,Steelers,WR,Offense,422500,1100000,1522500
Kendrick Clancy,AFC,Steelers,DT,Defense,193000,158000,351000
Nikia Codie,AFC,Steelers,S,Defense,193000,0,193000
Chris Combs,AFC,Steelers,DT,Defense,193000,22000,215000
Chris Conrad,AFC,Steelers,OL,Offense,358000,136200,494200
Matt Cushing,AFC,Steelers,TE,Offense,275000,0,275000
Dermontti Dawson,AFC,Steelers,OL,Offense,2713100,1015800,3728900
Roger Duffy,AFC,Steelers,OL,Offense,575000,120000,695000
Troy Edwards,AFC,Steelers,WR,Offense,375000,926900,1301900
Alan Faneca,AFC,Steelers,OL,Offense,720000,481000,1201000
John Fiala,AFC,Steelers,LB,Defense,358000,2900,360900
Lethon Flowers,AFC,Steelers,S,Defense,1000000,958800,1958800
Chris Fuamatu-Maafala,AFC,Steelers,RB,Offense,358000,18900,376900
Wayne Gandy,AFC,Steelers,OL,Offense,2900000,1063500,3963500
Cory Geason,AFC,Steelers,TE,Offense,193000,3800,196800
Jason Gildon,AFC,Steelers,LB,Defense,1800000,638600,2438600
Kent Graham,AFC,Steelers,QB,Offense,440000,369100,809100
Clark Haggans,AFC,Steelers,DE,Defense,193000,37200,230200
Courtney Hawkins,AFC,Steelers,WR,Offense,440000,0,440000
Kevin Henry,AFC,Steelers,DE,Defense,440000,548000,988000
Earl Holmes,AFC,Steelers,LB,Defense,1360000,339700,1699700
Richard Huntley,AFC,Steelers,RB,Offense,500000,336200,836200
Levon Kirkland,AFC,Steelers,LB,Defense,4525000,970500,5495500
Dan Kreider,AFC,Steelers,RB,Offense,193000,0,193000
Tee Martin,AFC,Steelers,QB,Offense,193000,32000,225000
Josh Miller,AFC,Steelers,P/K,Offense,575000,239600,814600
Tom Myslinski,AFC,Steelers,OL,Offense,475000,35600,510600
Joey Porter,AFC,Steelers,LB,Defense,275000,137300,412300
Hank Poteat,AFC,Steelers,CB,Defense,193000,114000,307000
Shahria Pourdanesh,AFC,Steelers,OL,Offense,700000,2900,702900
Mike Schneck,AFC,Steelers,LB,Defense,275000,4300,279300
Chad Scott,AFC,Steelers,CB,Defense,840000,316400,1156400
Bobby Shaw,AFC,Steelers,WR,Offense,358000,3400,361400
Scott Shields,AFC,Steelers,S,Defense,275000,202900,477900
Jason Simmons,AFC,Steelers,CB,Defense,358000,36200,394200
Aaron Smith,AFC,Steelers,DE,Defense,275000,86700,361700
Marvel Smith,AFC,Steelers,OL,Offense,355000,300000,655000
Jeremy Staat,AFC,Steelers,DE,Defense,375000,237600,612600
Kordell Stewart,AFC,Steelers,QB,Offense,2500000,2286100,4786100
Chris Sullivan,AFC,Steelers,DE,Defense,440000,432200,872200
Larry Tharpe,AFC,Steelers,OL,Offense,440000,2600,442600
Donnel Thompson,AFC,Steelers,LB,Defense,193000,1300,194300
DeShea Townsend,AFC,Steelers,CB,Defense,358000,74800,432800
Jerame Tuman,AFC,Steelers,TE,Offense,275000,39300,314300
Rich Tylski,AFC,Steelers,OL,Offense,440000,322600,762600
Kim Von Oelhoffen,AFC,Steelers,DT,Defense,440000,725600,1165600
Mike Vrabel,AFC,Steelers,LB,Defense,472000,2600,474600
Hines Ward,AFC,Steelers,WR,Offense,358000,110800,468800
DeWayne Washington,AFC,Steelers,CB,Defense,1790000,553200,2343200
Jon Witman,AFC,Steelers,RB,Offense,440000,399400,839400
Destry Wright,AFC,Steelers,RB,Offense,111000,2000,113000
Amos Zereoue,AFC,Steelers,RB,Offense,275000,107100,382100
Blaine Bishop,AFC,Titans,S,Defense,440000,1339700,1779700
Michael Booker,AFC,Titans,CB,Defense,385000,0,385000
De Mario Brown,AFC,Titans,RB,Offense,111000,1800,112800
Larry Brown,AFC,Titans,TE,Offense,275000,3400,278400
Keith Bulluck,AFC,Titans,LB,Defense,485000,385000,870000
Frank Chamberlin,AFC,Titans,LB,Defense,193000,31700,224700
Chris Coleman,AFC,Titans,WR,Offense,193000,0,193000
Al Del Greco,AFC,Titans,P/K,Offense,600000,255600,855600
Gennaro DiNapoli,AFC,Titans,OL,Offense,358000,0,358000
Kevin Dyson,AFC,Titans,WR,Offense,358000,947400,1305400
Keith Embray,AFC,Titans,LB,Defense,193000,0,193000
Josh Evans,AFC,Titans,DT,Defense,0,251400,251400
Greg Favors,AFC,Titans,LB,Defense,358000,3000,361000
Jason Fisk,AFC,Titans,DT,Defense,700000,412900,1112900
Henry Ford,AFC,Titans,DT,Defense,440000,804500,1244500
Byron Frisch,AFC,Titans,DE,Defense,193000,121700,314700
Eddie George,AFC,Titans,RB,Offense,413000,2116800,2529800
Randall Godfrey,AFC,Titans,LB,Defense,500000,1004000,1504000
Mike Green,AFC,Titans,RB,Offense,193000,11200,204200
Craig Hentrich,AFC,Titans,P/K,Offense,815000,287400,1102400
Kenny Holmes,AFC,Titans,DE,Defense,1595100,236900,1832000
Brad Hopkins,AFC,Titans,OL,Offense,440000,4283600,4723600
Jevon Kearse,AFC,Titans,DE,Defense,275000,896700,1171700
Terry Killens,AFC,Titans,LB,Defense,425000,40900,465900
Erron Kinney,AFC,Titans,TE,Offense,193000,161700,354700
Mike Leach,AFC,Titans,TE,Offense,193000,0,193000
Kevin Long,AFC,Titans,OL,Offense,358000,13600,371600
Derrick Mason,AFC,Titans,WR,Offense,472000,2900,474900
Jason Mathews,AFC,Titans,OL,Offense,550000,42200,592200
Bruce Matthews,AFC,Titans,OL,Offense,2000000,1001000,3001000
George McCullough,AFC,Titans,CB,Defense,358000,2000,360000
Brandon McLemore,AFC,Titans,CB,Defense,111000,0,111000
Steve McNair,AFC,Titans,QB,Offense,440000,3695200,4135200
Fred Miller,AFC,Titans,OL,Offense,440000,814800,1254800
Donald Mitchell,AFC,Titans,CB,Defense,275000,67100,342100
Aric Morris,AFC,Titans,S,Defense,193000,37500,230500
Bobby Myers,AFC,Titans,S,Defense,193000,83000,276000
Lorenzo Neal,AFC,Titans,RB,Offense,550000,303000,853000
Neil ODonnell,AFC,Titans,QB,Offense,500000,334300,834300
Benji Olson,AFC,Titans,OL,Offense,358000,39200,397200
Perry Phenix,AFC,Titans,S,Defense,358000,4100,362100
Carl Pickens,AFC,Titans,WR,Offense,500000,200000,700000
Zach Piller,AFC,Titans,OL,Offense,275000,119500,394500
Michael Roan,AFC,Titans,RB,Offense,750000,153800,903800
Marcus Robertson,AFC,Titans,S,Defense,600000,415600,1015600
Eddie Robinson,AFC,Titans,LB,Defense,1750000,752800,2502800
Samari Rolle,AFC,Titans,CB,Defense,358000,242300,600300
Joe Salavea,AFC,Titans,DT,Defense,358000,84700,442700
Chris Sanders,AFC,Titans,WR,Offense,1000000,654600,1654600
Scott Sanderson,AFC,Titans,OL,Offense,472000,4500,476500
Dainon Sidney,AFC,Titans,CB,Defense,358000,135600,493600
Peter Sirmon,AFC,Titans,LB,Defense,193000,79200,272200
Robaire Smith,AFC,Titans,DE,Defense,193000,16000,209000
Yancey Thigpen,AFC,Titans,WR,Offense,440000,2504100,2944100
Rodney Thomas,AFC,Titans,RB,Offense,850000,301500,1151500
John Thornton,AFC,Titans,DT,Defense,275000,244200,519200
Billy Volek,AFC,Titans,QB,Offense,193000,3800,196800
Denard Walker,AFC,Titans,CB,Defense,966600,3400,970000
Len Ware,AFC,Titans,WR,Offense,111000,1300,112300
Frank Wycheck,AFC,Titans,TE,Offense,1800000,610400,2410400
Mike Anderson,AFC,Broncos,RB,Offense,193000,18300,211300
Lester Archambeau,AFC,Broncos,DE,Defense,500000,203000,703000
Eric Brown,AFC,Broncos,S,Defense,358000,171700,529700
Terrell Buckley,AFC,Broncos,CB,Defense,440000,85000,525000
Keith Burns,AFC,Broncos,LB,Defense,440000,0,440000
Glenn Cadrez,AFC,Broncos,LB,Defense,1000000,421400,1421400
Cooper Carlisle,AFC,Broncos,OL,Offense,193000,92000,285000
Dwayne Carswell,AFC,Broncos,TE,Offense,450000,379300,829300
Dale Carter,AFC,Broncos,CB,Defense,0,1331400,1331400
Byron Chamberlain,AFC,Broncos,TE,Offense,600000,187600,787600
Desmond Clark,AFC,Broncos,TE,Offense,275000,24300,299300
George Coghill,AFC,Broncos,S,Defense,358000,34600,392600
Chris Cole,AFC,Broncos,WR,Offense,193000,159300,352300
Ka Ron Coleman,AFC,Broncos,RB,Offense,193000,0,193000
Ray Crockett,AFC,Broncos,CB,Defense,2200000,1029300,3229300
Terrell Davis,AFC,Broncos,RB,Offense,440000,2016000,2456000
Chris Doering,AFC,Broncos,WR,Offense,156000,4300,160300
Jason Elam,AFC,Broncos,P/K,Offense,800000,271500,1071500
Chafie Fields,AFC,Broncos,WR,Offense,193000,0,193000
Gus Frerotte,AFC,Broncos,QB,Offense,500000,503400,1003400
Lennie Friedman,AFC,Broncos,OL,Offense,250000,215700,465700
Olandis Gary,AFC,Broncos,RB,Offense,275000,81200,356200
Ian Gold,AFC,Broncos,LB,Defense,326300,275000,601300
Brian Griese,AFC,Broncos,QB,Offense,358000,123700,481700
Howard Griffith,AFC,Broncos,RB,Offense,1300000,304300,1604300
Harald Hasselbach,AFC,Broncos,DE,Defense,750000,87300,837300
Jarious Jackson,AFC,Broncos,QB,Offense,193000,11700,204700
Billy Jenkins,AFC,Broncos,S,Defense,385000,403900,788900
Jerry Johnson,AFC,Broncos,DT,Defense,193000,99000,292000
K.C. Jones,AFC,Broncos,OL,Offense,472000,3600,475600
Tony Jones,AFC,Broncos,OL,Offense,500000,1250600,1750600
Kenoy Kennedy,AFC,Broncos,S,Defense,300000,250000,550000
Matt Lepsis,AFC,Broncos,OL,Offense,360000,31300,391300
Mike Lodish,AFC,Broncos,DT,Defense,450000,50300,500300
Ed McCaffrey,AFC,Broncos,WR,Offense,700000,893800,1593800
Travis McGriff,AFC,Broncos,WR,Offense,275000,115000,390000
Billy Miller,AFC,Broncos,WR,Offense,275000,4000,279000
John Mobley,AFC,Broncos,LB,Defense,1600000,562900,2162900
Scottie Montgomery,AFC,Broncos,WR,Offense,193000,0,193000
Muneer Moore,AFC,Broncos,WR,Offense,111000,33700,144700
Tom Nalen,AFC,Broncos,OL,Offense,600000,854300,1454300
Dan Neil,AFC,Broncos,OL,Offense,1027000,4300,1031300
Deltha ONeal,AFC,Broncos,CB,Defense,381000,800000,1181000
Kavika Pittman,AFC,Broncos,DE,Defense,413000,452100,865100
Darryl Pounds,AFC,Broncos,CB,Defense,440000,178200,618200
Trevor Pryce,AFC,Broncos,DT,Defense,762800,346300,1109100
Montae Reagor,AFC,Broncos,DE,Defense,275000,201300,476300
Bill Romanowski,AFC,Broncos,LB,Defense,500000,1194100,1694100
Tom Rouen,AFC,Broncos,P/K,Offense,440000,154300,594300
Mark Schlereth,AFC,Broncos,OL,Offense,1250000,1084200,2334200
Detron Smith,AFC,Broncos,RB,Offense,450000,194300,644300
Rod Smith,AFC,Broncos,WR,Offense,1800000,404300,2204300
Jimmy Spencer,AFC,Broncos,CB,Defense,440000,102500,542500
Jason Suttle,AFC,Broncos,CB,Defense,275000,0,275000
Maa Tanuvasa,AFC,Broncos,DE,Defense,440000,916100,1356100
Trey Teague,AFC,Broncos,OL,Offense,358000,15500,373500
Keith Traylor,AFC,Broncos,DT,Defense,1800000,276300,2076300
Al Wilson,AFC,Broncos,LB,Defense,507500,424300,931800
Derrick Alexander,AFC,Chiefs,WR,Offense,452500,1779200,2231700
Darnell Alford,AFC,Chiefs,OL,Offense,193000,18700,211700
Kimble Anders,AFC,Chiefs,RB,Offense,500000,298300,798300
Larry Atkins,AFC,Chiefs,S,Defense,275000,122100,397100
William Bartee,AFC,Chiefs,CB,Defense,193000,250000,443000
Donnell Bennett,AFC,Chiefs,RB,Offense,440000,308600,748600
Jeff Blackshear,AFC,Chiefs,OL,Offense,500000,101200,601200
John Browning,AFC,Chiefs,DE,Defense,385000,151800,536800
Lewis Bush,AFC,Chiefs,LB,Defense,500000,350000,850000
Duane Clemons,AFC,Chiefs,DE,Defense,475000,400000,875000
Michael Cloud,AFC,Chiefs,RB,Offense,275000,208800,483800
Todd Collins,AFC,Chiefs,QB,Offense,440000,203200,643200
Pat Dennis,AFC,Chiefs,CB,Defense,193000,31700,224700
Troy Drayton,AFC,Chiefs,TE,Offense,440000,0,440000
Jason Dunn,AFC,Chiefs,TE,Offense,385000,0,385000
Donnie Edwards,AFC,Chiefs,LB,Defense,413000,2374300,2787300
Kendall Gammon,AFC,Chiefs,OL,Offense,440000,23700,463700
Ron George,AFC,Chiefs,LB,Defense,550000,75000,625000
Tony Gonzalez,AFC,Chiefs,TE,Offense,505000,837500,1342500
Carlton Gray,AFC,Chiefs,CB,Defense,500000,950000,1450000
Elvis Grbac,AFC,Chiefs,QB,Offense,800000,3233300,4033300
Tim Grunhard,AFC,Chiefs,OL,Offense,1900000,1260200,3160200
Dante Hall,AFC,Chiefs,RB,Offense,193000,32700,225700
James Hasty,AFC,Chiefs,CB,Defense,900000,2201500,3101500
Eric Hicks,AFC,Chiefs,DE,Defense,358000,78000,436000
Brad Kubik,AFC,Chiefs,OL,Offense,122000,3200,125200
Kevin Lockett,AFC,Chiefs,WR,Offense,472000,2800,474800
Steve Martin,AFC,Chiefs,DT,Defense,413000,401400,814400
Mike Maslowski,AFC,Chiefs,LB,Defense,275000,3200,278200
Chester McGlockton,AFC,Chiefs,DT,Defense,1150000,3180000,4330000
Warren Moon,AFC,Chiefs,QB,Offense,440000,351500,791500
Frank Moreau,AFC,Chiefs,RB,Offense,193000,88300,281300
Sylvester Morris,AFC,Chiefs,WR,Offense,193000,553600,746600
Andre ONeal,AFC,Chiefs,LB,Defense,193000,8000,201000
Larry Parker,AFC,Chiefs,WR,Offense,275000,87900,362900
Ty Parten,AFC,Chiefs,DE,Defense,440000,200,440200
Marvcus Patton,AFC,Chiefs,LB,Defense,500000,700000,1200000
Joe Perez,AFC,Chiefs,WR,Offense,111000,0,111000
Todd Peterson,AFC,Chiefs,P/K,Offense,440000,0,440000
Derrick Ransom,AFC,Chiefs,DT,Defense,358000,16700,374700
Tony Richardson,AFC,Chiefs,RB,Offense,500000,483200,983200
Mikhael Ricks,AFC,Chiefs,WR,Offense,358000,0,358000
Victor Riley,AFC,Chiefs,OL,Offense,405000,600000,1005000
Todd Sauerbrun,AFC,Chiefs,P/K,Offense,440000,800,440800
Will Shields,AFC,Chiefs,OL,Offense,4081000,0,4081000
Marcus Spears,AFC,Chiefs,OL,Offense,600000,225000,825000
Gary Stills,AFC,Chiefs,LB,Defense,275000,130300,405300
David Szott,AFC,Chiefs,OL,Offense,1800000,812000,2612000
John Tait,AFC,Chiefs,OL,Offense,275000,881600,1156600
Bracey Walker,AFC,Chiefs,S,Defense,440000,87500,527500
Eric Warfield,AFC,Chiefs,S,Defense,358000,11400,369400
Thomas Washington,AFC,Chiefs,DT,Defense,111000,500,111500
Brian Waters,AFC,Chiefs,RB,Offense,193000,0,193000
Greg Wesley,AFC,Chiefs,S,Defense,193000,123300,316300
Dan Williams,AFC,Chiefs,DT,Defense,500000,1816700,2316700
Tyrone Williams,AFC,Chiefs,DE,Defense,358000,0,358000
Donald Willis,AFC,Chiefs,OL,Offense,358000,2800,360800
Jerome Woods,AFC,Chiefs,S,Defense,425000,1025000,1450000
Elijah Alexander,AFC,Raiders,LB,Defense,440000,3200,443200
Eric Allen,AFC,Raiders,CB,Defense,800000,1283800,2083800
Darryl Ashmore,AFC,Raiders,OL,Offense,450000,13600,463600
Eric Barton,AFC,Raiders,LB,Defense,275000,24400,299400
Greg Biekert,AFC,Raiders,LB,Defense,500000,835100,1335100
Calvin Branch,AFC,Raiders,RB,Offense,385000,51400,436400
Jeremy Brigham,AFC,Raiders,TE,Offense,358000,31900,389900
Bobby Brooks,AFC,Raiders,LB,Defense,193000,4500,197500
Tim Brown,AFC,Raiders,WR,Offense,450000,2430500,2880500
Tony Bryant,AFC,Raiders,DE,Defense,312500,269300,581800
Roderick Coleman,AFC,Raiders,DE,Defense,275000,23700,298700
Mo Collins,AFC,Raiders,OL,Offense,490000,550000,1040000
Zack Crockett,AFC,Raiders,RB,Offense,500000,85100,585100
Anthony Dorsett,AFC,Raiders,S,Defense,415000,250000,665000
Scott Dreisbach,AFC,Raiders,QB,Offense,275000,4500,279500
Rickey Dudley,AFC,Raiders,TE,Offense,2240000,50000,2290000
David Dunn,AFC,Raiders,WR,Offense,440000,1900,441900
Mondriel Fulcher,AFC,Raiders,TE,Offense,193000,7300,200300
Rich Gannon,AFC,Raiders,QB,Offense,3000000,817200,3817200
Darrien Gordon,AFC,Raiders,CB,Defense,450000,220600,670600
Johnnie Harris,AFC,Raiders,CB,Defense,275000,3800,278800
Bobby Hoying,AFC,Raiders,QB,Offense,413000,119600,532600
Junior Ioane,AFC,Raiders,DT,Defense,193000,73900,266900
Grady Jackson,AFC,Raiders,DT,Defense,385000,85600,470600
Tory James,AFC,Raiders,CB,Defense,500000,303200,803200
Sebast Janikowski,AFC,Raiders,P/K,Offense,500000,537300,1037300
Brandon Jennings,AFC,Raiders,S,Defense,193000,4000,197000
James Jett,AFC,Raiders,WR,Offense,1430000,153200,1583200
Eric Johnson,AFC,Raiders,S,Defense,193000,3500,196500
Lance Johnstone,AFC,Raiders,DE,Defense,413000,671800,1084800
Randy Jordan,AFC,Raiders,RB,Offense,450000,141300,591300
Napoleon Kaufman,AFC,Raiders,RB,Offense,500000,834900,1334900
Lincoln Kennedy,AFC,Raiders,OL,Offense,1250000,663000,1913000
Terry Kirby,AFC,Raiders,RB,Offense,440000,0,440000
Shane Lechler,AFC,Raiders,P/K,Offense,193000,35500,228500
Terry Mickens,AFC,Raiders,WR,Offense,440000,0,440000
Toby Myles,AFC,Raiders,OL,Offense,358000,3200,361200
Nathan Parks,AFC,Raiders,OL,Offense,358000,8800,366800
Rodney Peete,AFC,Raiders,QB,Offense,450000,0,450000
Marquez Pope,AFC,Raiders,S,Defense,442000,58000,500000
Jerry Porter,AFC,Raiders,WR,Offense,266000,291700,557700
Andre Rison,AFC,Raiders,WR,Offense,500000,0,500000
Jon Ritchie,AFC,Raiders,RB,Offense,358000,177900,535900
Barret Robbins,AFC,Raiders,OL,Offense,500000,1379200,1879200
Darrell Russell,AFC,Raiders,DT,Defense,400000,2241700,2641700
Barry Sims,AFC,Raiders,OL,Offense,275000,144900,419900
Travian Smith,AFC,Raiders,LB,Defense,275000,37500,312500
Matt Stinchcomb,AFC,Raiders,OL,Offense,337500,754500,1092000
Josh Taves,AFC,Raiders,DE,Defense,193000,19500,212500
William Thomas,AFC,Raiders,LB,Defense,440000,25000,465000
Adam Treu,AFC,Raiders,OL,Offense,385000,83200,468200
Regan Upshaw,AFC,Raiders,DE,Defense,500000,3200,503200
Tyrone Wheatley,AFC,Raiders,RB,Offense,600000,670900,1270900
Steve Wisniewski,AFC,Raiders,OL,Offense,450000,2050600,2500600
Charles Woodson,AFC,Raiders,CB,Defense,1500000,1808300,3308300
Rogers Beckett,AFC,Chargers,S,Defense,300000,285000,585000
Darren Bennett,AFC,Chargers,P/K,Offense,450000,400600,850600
David Binn,AFC,Chargers,TE,Offense,440000,33400,473400
Fakhir Brown,AFC,Chargers,CB,Defense,275000,3800,278800
Kenny Bynum,AFC,Chargers,RB,Offense,472000,4200,476200
John Carney,AFC,Chargers,P/K,Offense,800000,251100,1051100
Leonardo Carson,AFC,Chargers,DE,Defense,193000,89700,282700
Robert Chancey,AFC,Chargers,RB,Offense,500000,170700,670700
Ben Coleman,AFC,Chargers,OL,Offense,450000,700000,1150000
Curtis Conway,AFC,Chargers,WR,Offense,550000,1000400,1550400
Tony Darden,AFC,Chargers,CB,Defense,275000,3800,278800
Reggie Davis,AFC,Chargers,TE,Offense,275000,4700,279700
Tim Denton,AFC,Chargers,CB,Defense,358000,0,358000
Adrian Dingle,AFC,Chargers,DE,Defense,275000,37100,312100
Gerald Dixon,AFC,Chargers,LB,Defense,500000,250700,750700
Michael Dumas,AFC,Chargers,S,Defense,440000,205700,645700
Jermaine Fazande,AFC,Chargers,RB,Offense,275000,200800,475800
Terrell Fletcher,AFC,Chargers,RB,Offense,460000,588200,1048200
Albert Fontenot,AFC,Chargers,DE,Defense,440000,301300,741300
Roman Fortin,AFC,Chargers,OL,Offense,933300,151100,1084400
Trevor Gaylor,AFC,Chargers,WR,Offense,193000,91700,284700
Kevin Gogan,AFC,Chargers,OL,Offense,450000,250000,700000
De Mingo Graham,AFC,Chargers,OL,Offense,358000,4200,362200
