Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Paul Shields,AFC,Colts,RB,Offense,275000,0,275000
Hunter Smith,AFC,Colts,P/K,Offense,275000,12800,287800
Justin Snow,AFC,Colts,LB,Defense,193000,0,193000
Sam Sword,AFC,Colts,LB,Defense,275000,0,275000
Mark Thomas,AFC,Colts,DE,Defense,800000,402900,1202900
Ratcliff Thomas,AFC,Colts,LB,Defense,358000,2200,360200
Mike Vanderjagt,AFC,Colts,P/K,Offense,358000,251000,609000
Marcus Washington,AFC,Colts,LB,Defense,193000,220000,413000
Bernar Whittington,AFC,Colts,DT,Defense,875000,165700,1040700
Terrence Wilkins,AFC,Colts,WR,Offense,275000,7200,282200
Josh Williams,AFC,Colts,DT,Defense,193000,85300,278300
Jason Andersen,AFC,Dolphins,OL,Offense,358000,0,358000
Jason Anderson,AFC,Dolphins,WR,Offense,358000,7500,365500
Trace Armstrong,AFC,Dolphins,DE,Defense,1150000,787500,1937500
John Bock,AFC,Dolphins,OL,Offense,440000,55000,495000
Tim Bowens,AFC,Dolphins,DT,Defense,3000000,1333300,4333300
Lorenzo Bromell,AFC,Dolphins,DE,Defense,358000,87000,445000
Anthony Cesario,AFC,Dolphins,OL,Offense,275000,0,275000
Autry Denson,AFC,Dolphins,RB,Offense,275000,3900,278900
Mark Dixon,AFC,Dolphins,OL,Offense,400000,235900,635900
Kevin Donnalley,AFC,Dolphins,OL,Offense,440000,150000,590000
Deon Dyer,AFC,Dolphins,RB,Offense,193000,87300,280300
Bert Emanuel,AFC,Dolphins,WR,Offense,440000,5700,445700
Jay Fiedler,AFC,Dolphins,QB,Offense,450000,366700,816700
Arturo Freeman,AFC,Dolphins,S,Defense,193000,34300,227300
Oronde Gadsden,AFC,Dolphins,WR,Offense,400000,234300,634300
Scott Galyon,AFC,Dolphins,LB,Defense,500000,170800,670800
Trent Gamble,AFC,Dolphins,CB,Defense,193000,4500,197500
Daryl Gardener,AFC,Dolphins,DT,Defense,440000,1453600,1893600
Hunter Goodwin,AFC,Dolphins,TE,Offense,413000,450000,863000
Ernest Grant,AFC,Dolphins,DT,Defense,193000,25300,218300
Damian Gregory,AFC,Dolphins,DT,Defense,111000,4300,115300
Jermaine Haley,AFC,Dolphins,DE,Defense,193000,10400,203400
Jeff Harris,AFC,Dolphins,CB,Defense,111000,9000,120000
Tommy Hendricks,AFC,Dolphins,S,Defense,193000,0,193000
Damon Huard,AFC,Dolphins,QB,Offense,500000,325000,825000
Heath Irwin,AFC,Dolphins,OL,Offense,440000,515000,955000
Larry Izzo,AFC,Dolphins,LB,Defense,425000,35000,460000
Greg Jeffries,AFC,Dolphins,S,Defense,625000,114700,739700
James Johnson,AFC,Dolphins,RB,Offense,381300,243800,625100
Robert Jones,AFC,Dolphins,LB,Defense,440000,1027500,1467500
Ben Kelly,AFC,Dolphins,CB,Defense,193000,130000,323000
Rob Konrad,AFC,Dolphins,RB,Offense,362500,237500,600000
Sam Madison,AFC,Dolphins,CB,Defense,385000,1550800,1935800
Olindo Mare,AFC,Dolphins,P/K,Offense,1027000,3900,1030900
Brock Marion,AFC,Dolphins,S,Defense,1775000,1866700,3641700
Tony Martin,AFC,Dolphins,WR,Offense,2100000,1059200,3159200
Alonzo Mayes,AFC,Dolphins,TE,Offense,358000,0,358000
O.J. McDuffie,AFC,Dolphins,WR,Offense,910000,635400,1545400
Kenny Mixon,AFC,Dolphins,DE,Defense,376500,205000,581500
Jeff Ogden,AFC,Dolphins,WR,Offense,358000,0,358000
Adewale Ogunleye,AFC,Dolphins,DE,Defense,111000,3800,114800
Rich Owens,AFC,Dolphins,DE,Defense,1100000,791200,1891200
Ed Perry,AFC,Dolphins,TE,Offense,472000,4400,476400
Mike Quinn,AFC,Dolphins,QB,Offense,385000,0,385000
Derrick Rodgers,AFC,Dolphins,LB,Defense,472000,4300,476300
Tim Ruddy,AFC,Dolphins,OL,Offense,700000,800000,1500000
Twan Russell,AFC,Dolphins,LB,Defense,385000,4100,389100
Damon Savage,AFC,Dolphins,WR,Offense,193000,0,193000
Terrance Shaw,AFC,Dolphins,CB,Defense,440000,600,440600
Leslie Shepherd,AFC,Dolphins,WR,Offense,440000,200,440200
Brent Smith,AFC,Dolphins,OL,Offense,385000,203200,588200
Lamar Smith,AFC,Dolphins,RB,Offense,500000,250000,750000
Patrick Surtain,AFC,Dolphins,CB,Defense,397500,212500,610000
